company,ticker,year,quarter,filename,filepath
Adobe,ADBE,2021,2,2021_Q2_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2021_Q2_adbe_processed.txt
Adobe,ADBE,2021,3,2021_Q3_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2021_Q3_adbe_processed.txt
Adobe,ADBE,2021,4,2021_Q4_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2021_Q4_adbe_processed.txt
Adobe,ADBE,2022,1,2022_Q1_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2022_Q1_adbe_processed.txt
Adobe,ADBE,2022,2,2022_Q2_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2022_Q2_adbe_processed.txt
Adobe,ADBE,2022,3,2022_Q3_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2022_Q3_adbe_processed.txt
Adobe,ADBE,2022,4,2022_Q4_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2022_Q4_adbe_processed.txt
Adobe,ADBE,2023,1,2023_Q1_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2023_Q1_adbe_processed.txt
Adobe,ADBE,2023,2,2023_Q2_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2023_Q2_adbe_processed.txt
Adobe,ADBE,2023,3,2023_Q3_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2023_Q3_adbe_processed.txt
Adobe,ADBE,2023,4,2023_Q4_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2023_Q4_adbe_processed.txt
